,Question,subject_Chemistry,subject_Physics
0,What is the phenomenon that causes a spark when you take off synthetic clothes in dry weather?,0.0,1.0
1,Explain why you might experience an electric shock when opening the door of a car.,0.0,1.0
2,"Describe the process that leads to the lightning we see during thunderstorms, and how it relates to electric charges and fields.",0.0,1.0
3,What is the primary focus of electrostatics?,0.0,1.0
4,Explain the concept of static electricity and how it is generated.,0.0,1.0
5,Describe the relationship between static charges and the electric field they produce.,0.0,1.0
6,What is the phenomenon called when electrons are transferred between two materials that are rubbed together?,0.0,1.0
7,Explain why a rubbed balloon can stick to a wall.,0.0,1.0
8,Describe the process by which a Van de Graaff generator creates a large static charge.,0.0,1.0
9,What is the term for the study of electrical charges at rest?,0.0,1.0
10,"When a glass rod is rubbed with wool, what type of charge do each of the materials acquire?",0.0,1.0
11,"Explain why two glass rods rubbed with wool repel each other, while a glass rod rubbed with wool attracts the wool.",0.0,1.0
12,What is the name of the force that causes two plastic rods rubbed with cat's fur to repel each other?,0.0,1.0
13,"If a plastic rod attracts a glass rod, what can we infer about the charges on the two rods?",0.0,1.0
14,"Explain why the glass rod repels the fur, using the concept of charge transfer.",0.0,1.0
15,What are the two types of electric charges?,0.0,1.0
16,Explain what happens when a glass rod is rubbed with silk in terms of electric charge.,0.0,1.0
17,Why do like charges repel and unlike charges attract each other?,0.0,1.0
18,What happens to the charges when an electrified glass rod is brought into contact with the silk it was rubbed against?,0.0,1.0
19,Explain why the glass rod and silk no longer attract each other after being brought back into contact.,0.0,1.0
20,"Based on the principle of charge conservation, what can you infer about the total charge of the system consisting of the glass rod and silk before and after they are brought into contact?",0.0,1.0
21,What are the two types of electric charges?,0.0,1.0
22,Explain what happens when a positively charged object is brought near a negatively charged object.,0.0,1.0
23,Why is the charge on a glass rod considered positive and the charge on a plastic rod considered negative?,0.0,1.0
24,What happens when two positively charged rods are brought close to each other?,0.0,1.0
25,"If a negatively charged rod is brought near a neutral object, what happens to the charges in the neutral object?",0.0,1.0
26,"Explain why a charged rod can attract small pieces of paper, even though the paper is electrically neutral.",0.0,1.0
27,What happens to the gold leaves in an electroscope when a positively charged object touches the metal knob?,0.0,1.0
28,"If an object with a negative charge touches the metal knob of an electroscope, what will happen to the gold leaves? Explain why.",0.0,1.0
29,"How can you use an electroscope to determine if an object is neutrally charged, positively charged, or negatively charged?",0.0,1.0
30,What are the fundamental particles that give rise to electric forces in matter?,0.0,1.0
31,Explain why materials are normally electrically neutral despite containing charges.,0.0,1.0
32,Describe how electric forces contribute to the phenomenon of surface tension in liquids.,0.0,1.0
33,What are the two types of charges that a body can have?,0.0,1.0
34,Explain how a neutral body can be charged positively.,0.0,1.0
35,Describe the process of charging a body by induction and explain the distribution of charges on the body during this process.,0.0,1.0
36,What happens to the charge of a glass rod when it is rubbed with silk?,0.0,1.0
37,Explain why the total charge is conserved when a glass rod is rubbed with silk.,0.0,1.0
38,Calculate the number of electrons transferred if a glass rod acquires a charge of +1.6 x 10^-19 Coulombs after being rubbed with silk.,0.0,1.0
39,Which of the following is a good conductor of electricity?,0.0,1.0
